"Name","Live Bytes","Live Objects"
"java.util.logging.Level","288 B (0%)","9 (0%)"
"com.intellij.ide.actions.NextOccurenceToolbarAction","288 B (0%)","9 (0%)"
"com.intellij.execution.testframework.sm.runner.states.TestStateInfo$Magnitude","288 B (0%)","9 (0%)"
"java.lang.module.ModuleDescriptor$Opens","288 B (0%)","12 (0%)"
"com.intellij.psi.css.descriptor.CssMediaType","288 B (0%)","12 (0%)"
"com.intellij.psi.impl.PsiTreeChangeEventImpl$PsiEventType","288 B (0%)","12 (0%)"
"java.time.ZoneOffset[]","280 B (0%)","2 (0%)"
"com.intellij.ide.browsers.ConfigurableWebBrowser","280 B (0%)","7 (0%)"
"java.lang.WeakPairMap$Pair$Weak","280 B (0%)","7 (0%)"
"sun.awt.windows.WCustomCursor","280 B (0%)","7 (0%)"
"com.intellij.openapi.vfs.impl.jar.BasicJarHandler","280 B (0%)","7 (0%)"
"com.intellij.openapi.application.impl.ApplicationInfoImpl","280 B (0%)","1 (0%)"
"com.intellij.xdebugger.impl.breakpoints.BreakpointState","280 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$Kind[]","280 B (0%)","1 (0%)"
"com.intellij.openapi.wm.impl.content.TabContentLayout","280 B (0%)","7 (0%)"
"com.intellij.ui.content.tabs.TabbedContentAction$MyNextTabAction","280 B (0%)","7 (0%)"
"com.intellij.ui.content.tabs.TabbedContentAction$MyPreviousTabAction","280 B (0%)","7 (0%)"
"com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder","280 B (0%)","5 (0%)"
"com.intellij.openapi.vfs.impl.jar.BasicJarHandler$ZipResourceHandle","280 B (0%)","7 (0%)"
"com.intellij.openapi.editor.impl.FontInfo","280 B (0%)","7 (0%)"
"sun.security.ssl.SSLExtension[]","280 B (0%)","1 (0%)"
"com.intellij.ui.content.tabs.TabbedContentAction$CloseAllAction","280 B (0%)","7 (0%)"
"com.intellij.codeInsight.daemon.LineMarkerInfo$LineMarkerGutterIconRenderer","272 B (0%)","17 (0%)"
"com.google.common.cache.LocalCache$StrongValueReference","272 B (0%)","17 (0%)"
"com.sun.proxy.$Proxy2","272 B (0%)","17 (0%)"
"io.netty.util.internal.InternalThreadLocalMap","272 B (0%)","2 (0%)"
"sun.invoke.util.ValueConversions$WrapperCache","272 B (0%)","17 (0%)"
"org.jetbrains.plugins.ruby.ruby.codeInsight.paramDefs.HashKeyParamDefDelegate","272 B (0%)","17 (0%)"
"com.intellij.lang.BracePair[]","272 B (0%)","7 (0%)"
"com.intellij.psi.xml.XmlText[]","264 B (0%)","11 (0%)"
"com.intellij.ui.SpeedSearchComparator","264 B (0%)","11 (0%)"
"sun.security.ssl.SSLSecretDerivation$SecretSchedule","264 B (0%)","11 (0%)"
"com.intellij.codeInspection.ProblemHighlightType","264 B (0%)","11 (0%)"
"org.jetbrains.plugins.ruby.rails.codeInsight.paramDefs.AssociationRefParam","264 B (0%)","11 (0%)"
"com.intellij.openapi.options.ConfigurableEP$ClassProducer","264 B (0%)","11 (0%)"
"com.sun.jna.DefaultTypeMapper$Entry","264 B (0%)","11 (0%)"
"com.intellij.openapi.vfs.impl.local.NativeFileWatcherImpl$WatcherOp","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.impl.protobuf.FieldSet","264 B (0%)","11 (0%)"
"com.intellij.openapi.actionSystem.Constraints","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KDeclarationContainerImpl$Data$moduleData$2","264 B (0%)","11 (0%)"
"com.intellij.openapi.wm.impl.status.IdeStatusBarImpl$$Lambda$1147.0x0000000100ecac40","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$inheritedStaticMembers$2","264 B (0%)","11 (0%)"
"com.intellij.lang.javascript.psi.types.JSDecoratedType$TypeDecoration","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$declaredMembers$2","264 B (0%)","11 (0%)"
"com.intellij.psi.formatter.xml.HtmlCodeStyleSettings","264 B (0%)","3 (0%)"
"java.security.cert.CRLReason","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$sealedSubclasses$2","264 B (0%)","11 (0%)"
"org.intellij.plugins.intelliLang.inject.config.XmlAttributeInjection","264 B (0%)","3 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$inheritedNonStaticMembers$2","264 B (0%)","11 (0%)"
"com.intellij.ui.tree.ui.DefaultTreeUI$4","264 B (0%)","11 (0%)"
"com.intellij.ui.tree.ui.DefaultTreeUI$3","264 B (0%)","11 (0%)"
"org.jdom.AttributeType","264 B (0%)","11 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic","264 B (0%)","11 (0%)"
"com.fasterxml.jackson.annotation.JsonFormat$Shape","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$annotations$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$nestedClasses$2","264 B (0%)","11 (0%)"
"com.intellij.util.containers.ConcurrentFactoryMap$3","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$objectInstance$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$allMembers$2","264 B (0%)","11 (0%)"
"java.io.ObjectStreamClass$ExceptionInfo","264 B (0%)","11 (0%)"
"com.intellij.util.containers.ConcurrentRefHashMap$HardKey","264 B (0%)","11 (0%)"
"com.intellij.lang.javascript.psi.resolve.JSTaggedResolveResult$ResolveResultTag","264 B (0%)","11 (0%)"
"com.intellij.lang.javascript.DialectOptionHolder$1","264 B (0%)","11 (0%)"
"com.intellij.execution.configurations.RunConfigurationModule","264 B (0%)","11 (0%)"
"com.intellij.ui.TreeExpandableItemsHandler$3","264 B (0%)","11 (0%)"
"com.intellij.ui.TreeExpandableItemsHandler$2","264 B (0%)","11 (0%)"
"com.intellij.ui.TreeExpandableItemsHandler$1","264 B (0%)","11 (0%)"
"com.intellij.ui.TreeExpandableItemsHandler$4","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KFunctionImpl$caller$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$declaredNonStaticMembers$2","264 B (0%)","11 (0%)"
"java.lang.annotation.ElementType","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$allStaticMembers$2","264 B (0%)","11 (0%)"
"com.intellij.database.DbmsExtension$Bean[]","264 B (0%)","2 (0%)"
"kotlin.reflect.jvm.internal.KFunctionImpl$defaultCaller$2","264 B (0%)","11 (0%)"
"com.intellij.notification.Notification","264 B (0%)","3 (0%)"
"com.intellij.ui.icons.IconLoadMeasurer$Counter","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$descriptor$2","264 B (0%)","11 (0%)"
"java.awt.event.FocusEvent$Cause","264 B (0%)","11 (0%)"
"org.jrubyparser.lexer.Lexer$LexState","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$simpleName$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$constructors$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KFunctionImpl$descriptor$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$supertypes$2","264 B (0%)","11 (0%)"
"com.intellij.execution.testframework.sm.TestHistoryConfiguration$ConfigurationBean","264 B (0%)","11 (0%)"
"com.intellij.psi.PsiAnchor$PsiDirectoryReference","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$typeParameters$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$declaredStaticMembers$2","264 B (0%)","11 (0%)"
"com.jetbrains.plugins.webDeployment.config.PublishConfig$State","264 B (0%)","3 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$allNonStaticMembers$2","264 B (0%)","11 (0%)"
"kotlin.reflect.jvm.internal.KClassImpl$Data$qualifiedName$2","264 B (0%)","11 (0%)"
"com.intellij.openapi.vcs.VcsConfiguration","256 B (0%)","2 (0%)"
"com.intellij.ide.ui.laf.darcula.ui.DarculaTextFieldUI","256 B (0%)","4 (0%)"
"com.intellij.ide.actions.ShowContentAction","256 B (0%)","8 (0%)"
"com.intellij.lang.javascript.types.JSEmbeddedContentElementType","256 B (0%)","8 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.psi.stubs.impl.containers.RMethodStubImpl","256 B (0%)","4 (0%)"
"com.intellij.util.io.CachingEnumerator","256 B (0%)","8 (0%)"
"com.intellij.openapi.roots.impl.ExcludeFolderImpl","256 B (0%)","8 (0%)"
"com.intellij.terminal.JBTerminalWidget$$Lambda$5974.0x000000010267ac40","256 B (0%)","16 (0%)"
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo","256 B (0%)","8 (0%)"
"com.intellij.refactoring.actions.BasePlatformRefactoringAction$$Lambda$978.0x0000000100ceac40","256 B (0%)","16 (0%)"
"com.intellij.execution.configurations.PredefinedLogFile","256 B (0%)","8 (0%)"
"com.fasterxml.jackson.databind.MapperFeature[]","256 B (0%)","2 (0%)"
"javax.swing.text.DefaultEditorKit$NextVisualPositionAction","256 B (0%)","8 (0%)"
"com.intellij.vcs.log.ui.actions.VcsLogToolbarPopupActionGroup","256 B (0%)","4 (0%)"
"java.awt.Toolkit$SelectiveAWTEventListener","256 B (0%)","8 (0%)"
"sun.security.util.ECParameters","256 B (0%)","16 (0%)"
"com.fasterxml.jackson.databind.DeserializationFeature[]","256 B (0%)","2 (0%)"
"java.security.SecureClassLoader$CodeSourceKey","256 B (0%)","16 (0%)"
"sun.text.normalizer.Trie2_16","256 B (0%)","4 (0%)"
"com.intellij.execution.wsl.WslDistributionDescriptor$$Lambda$1837.0x00000001013bd840","256 B (0%)","16 (0%)"
"com.intellij.refactoring.actions.BasePlatformRefactoringAction$$Lambda$977.0x0000000100cea840","256 B (0%)","16 (0%)"
"com.intellij.util.ui.update.Update$1","256 B (0%)","8 (0%)"
"org.jetbrains.plugins.ruby.ruby.inspections.resolve.CreateRubyMethodFix","256 B (0%)","8 (0%)"
"com.intellij.openapi.actionSystem.Separator$$Lambda$570.0x00000001006a6440","256 B (0%)","16 (0%)"
"kotlinx.coroutines.internal.Symbol","256 B (0%)","16 (0%)"
"java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl","256 B (0%)","8 (0%)"
"com.intellij.openapi.fileTypes.SyntaxHighlighterFactoryEP[]","248 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentHashMap$CounterCell[]","248 B (0%)","10 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType","240 B (0%)","10 (0%)"
"com.intellij.openapi.editor.actions.CaretStopPolicy","240 B (0%)","10 (0%)"
"com.intellij.openapi.util.io.PathExecLazyValue","240 B (0%)","10 (0%)"
"com.intellij.codeInsight.completion.CompletionConfidenceEP","240 B (0%)","6 (0%)"
"java.util.concurrent.locks.StampedLock","240 B (0%)","5 (0%)"
"com.intellij.util.EditSourceOnEnterKeyHandler$$Lambda$2012.0x00000001014a0c40","240 B (0%)","10 (0%)"
"java.nio.file.StandardOpenOption","240 B (0%)","10 (0%)"
"com.intellij.ide.DefaultTreeExpander$1","240 B (0%)","10 (0%)"
"com.google.gson.stream.JsonToken","240 B (0%)","10 (0%)"
"com.intellij.util.EditSourceOnEnterKeyHandler$$Lambda$2013.0x00000001014a1040","240 B (0%)","10 (0%)"
"org.intellij.lang.regexp.RegExpCapability[]","240 B (0%)","2 (0%)"
"com.intellij.execution.wsl.WslDistributionDescriptor$$Lambda$1835.0x00000001013be040","240 B (0%)","15 (0%)"
"kotlin.reflect.jvm.internal.impl.resolve.scopes.DescriptorKindFilter","240 B (0%)","10 (0%)"
"javax.accessibility.AccessibleRelationSet","240 B (0%)","15 (0%)"
"com.intellij.openapi.fileEditor.impl.FileEditorOpenOptions","240 B (0%)","10 (0%)"
"com.intellij.json.JsonElementType","240 B (0%)","10 (0%)"
"java.awt.event.MouseEvent","240 B (0%)","3 (0%)"
"com.jetbrains.clones.configuration.BooleanProperty","240 B (0%)","15 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLII","240 B (0%)","3 (0%)"
"com.intellij.spellchecker.quickfixes.SaveTo","240 B (0%)","10 (0%)"
"com.sun.beans.util.Cache$CacheEntry[]","240 B (0%)","3 (0%)"
"org.jetbrains.plugins.ruby.rails.codeInsight.sprockets.SprocketsReferenceContributor$1","240 B (0%)","10 (0%)"
"com.intellij.spellchecker.tokenizer.CommentTokenizer","240 B (0%)","15 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLIIL","240 B (0%)","3 (0%)"
"com.intellij.execution.process.AnsiTerminalEmulator$TerminalFont","240 B (0%)","10 (0%)"
"com.google.gson.Gson","240 B (0%)","3 (0%)"
"com.sun.proxy.$Proxy62","240 B (0%)","15 (0%)"
"com.intellij.util.EditSourceOnDoubleClickHandler$TreeMouseListener","240 B (0%)","10 (0%)"
"com.intellij.openapi.wm.impl.customFrameDecorations.header.titleLabel.DefaultPartTitle","240 B (0%)","5 (0%)"
"com.intellij.ui.tree.AsyncTreeModel$Tree","240 B (0%)","10 (0%)"
"com.fasterxml.jackson.databind.deser.std.StdValueInstantiator","240 B (0%)","3 (0%)"
"com.intellij.psi.impl.source.xml.XmlDocumentImpl$$Lambda$4107.0x0000000101eea840","240 B (0%)","10 (0%)"
"com.intellij.openapi.util.KeyedExtensionCollector","240 B (0%)","6 (0%)"
"com.intellij.ide.projectView.impl.ProjectViewImpl$Action$$Lambda$937.0x0000000100c86440","240 B (0%)","15 (0%)"
"sun.java2d.loops.FillParallelogram","240 B (0%)","5 (0%)"
"sun.java2d.loops.DrawParallelogram","240 B (0%)","5 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap","240 B (0%)","15 (0%)"
"java.lang.invoke.VarForm","240 B (0%)","10 (0%)"
"java.security.CryptoPrimitive","240 B (0%)","10 (0%)"
"com.intellij.formatting.IndentImpl","240 B (0%)","10 (0%)"
"com.intellij.codeInsight.folding.impl.actions.BaseExpandToLevelAction$1","240 B (0%)","10 (0%)"
"com.intellij.spellchecker.tokenizer.SpellcheckingStrategy$XmlAttributeValueTokenizer","240 B (0%)","15 (0%)"
"java.util.Hashtable$EntrySet","240 B (0%)","15 (0%)"
"com.intellij.patterns.XmlAttributeValuePattern$3","240 B (0%)","10 (0%)"
"com.intellij.psi.impl.source.resolve.reference.UrlReferenceContributor$1","240 B (0%)","10 (0%)"
"com.intellij.codeInsight.intention.EmptyIntentionAction","240 B (0%)","15 (0%)"
"com.intellij.openapi.editor.colors.TextAttributesKey[]","240 B (0%)","4 (0%)"
"com.intellij.util.containers.ThreadLocalRandom$Tlr","240 B (0%)","10 (0%)"
"javax.swing.UIDefaults$LazyInputMap","240 B (0%)","15 (0%)"
"kotlin.reflect.jvm.internal.impl.resolve.scopes.DescriptorKindFilter$Companion$MaskToName","240 B (0%)","10 (0%)"
"com.sun.jmx.remote.util.ClassLogger","240 B (0%)","10 (0%)"
"sun.awt.SunHints$Key","240 B (0%)","10 (0%)"
"org.jetbrains.plugins.ruby.rails.codeInsight.paramDefs.AssetRefParam","240 B (0%)","6 (0%)"
"com.intellij.util.io.RandomAccessDataFile","240 B (0%)","6 (0%)"
"org.intellij.lang.regexp.psi.RegExpBoundary$Type","240 B (0%)","10 (0%)"
"sun.java2d.loops.DrawGlyphListColor$General","240 B (0%)","5 (0%)"
"org.yaml.snakeyaml.events.Event$ID","240 B (0%)","10 (0%)"
"java.nio.charset.CoderResult","240 B (0%)","10 (0%)"
"sun.awt.OSInfo$WindowsVersion","240 B (0%)","10 (0%)"
"com.intellij.stats.personalization.session.SessionFactorsUtils$SessionLookupFactor","240 B (0%)","10 (0%)"
"com.intellij.ide.IdeEventQueue","232 B (0%)","1 (0%)"
"com.intellij.psi.impl.source.resolve.reference.PsiReferenceContributorEP[]","232 B (0%)","1 (0%)"
"com.intellij.lang.javascript.index.FrameworkIndexingHandlerEP$$Lambda$1027.0x0000000100d52040","224 B (0%)","14 (0%)"
"sun.reflect.generics.repository.ConstructorRepository","224 B (0%)","7 (0%)"
"com.sixrr.inspectjs.confusing.PointlessArithmeticExpressionJSInspection$PointlessArithmeticFix","224 B (0%)","14 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction[]","224 B (0%)","5 (0%)"
"com.intellij.psi.impl.PsiParameterizedCachedValue","224 B (0%)","7 (0%)"
"com.sixrr.inspectjs.control.TrivialIfJSInspection$TrivialIfFix","224 B (0%)","14 (0%)"
"com.intellij.ide.browsers.actions.BaseOpenInBrowserAction","224 B (0%)","7 (0%)"
"com.intellij.util.indexing.snapshot.SnapshotInputMappings","224 B (0%)","4 (0%)"
"com.intellij.ui.tabs.TabInfo","224 B (0%)","2 (0%)"
"com.sixrr.inspectjs.control.UnnecessaryLabelOnBreakStatementJSInspection$UnnecessaryLabelOnBreakStatementFix","224 B (0%)","14 (0%)"
"com.intellij.openapi.wm.impl.content.ToolWindowContentUi$1","224 B (0%)","7 (0%)"
"com.sixrr.inspectjs.control.ConditionalExpressionWithIdenticalBranchesJSInspection$CollapseConditional","224 B (0%)","14 (0%)"
"com.sixrr.inspectjs.control.UnnecessaryContinueJSInspection$UnnecessaryContinueFix","224 B (0%)","14 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.psi.impl.holders.RContainerBase$$Lambda$1562.0x00000001011b1440","224 B (0%)","14 (0%)"
"sun.swing.SwingUtilities2$$Lambda$137.0x00000001001e4040","224 B (0%)","7 (0%)"
"java.util.regex.Pattern$NotBehind","224 B (0%)","7 (0%)"
"com.intellij.lang.javascript.index.FrameworkIndexingHandler$$Lambda$4477.0x00000001020ce040","224 B (0%)","14 (0%)"
"jdk.internal.reflect.UnsafeQualifiedBooleanFieldAccessorImpl","224 B (0%)","7 (0%)"
"com.sixrr.inspectjs.style.ConstantOnRHSOfComparisonJSInspection$SwapComparisonFix","224 B (0%)","14 (0%)"
"com.sixrr.inspectjs.control.UnnecessaryReturnJSInspection$UnnecessaryReturnFix","224 B (0%)","14 (0%)"
"java.lang.WeakPairMap$Pair$Weak$1","224 B (0%)","7 (0%)"
"com.fasterxml.jackson.databind.SerializationFeature[]","224 B (0%)","2 (0%)"
"com.intellij.openapi.wm.impl.ToolWindowManagerImpl$ToolWindowFocusWatcher","224 B (0%)","7 (0%)"
"com.intellij.psi.impl.meta.MetaRegistry$$Lambda$4123.0x0000000101f0b440","224 B (0%)","14 (0%)"
"sun.nio.fs.NativeBuffer[]","224 B (0%)","7 (0%)"
"com.jetbrains.clones.configuration.GlobalSettings","224 B (0%)","14 (0%)"
"org.codehaus.groovy.reflection.CachedConstructor","224 B (0%)","7 (0%)"
"com.fasterxml.jackson.databind.cfg.BaseSettings","224 B (0%)","4 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.psi.impl.holders.RContainerBase$$Lambda$1563.0x00000001011e8040","224 B (0%)","14 (0%)"
"com.intellij.openapi.wm.impl.content.TabContentLayout$1","224 B (0%)","7 (0%)"
"com.intellij.psi.impl.source.xml.XmlPrologImpl","224 B (0%)","4 (0%)"
"org.jetbrains.plugins.ruby.rails.codeInsight.paramDefs.ExcludeRSymbolsFilter","224 B (0%)","7 (0%)"
"com.intellij.util.containers.hash.LinkedHashMap","224 B (0%)","4 (0%)"
"org.apache.xerces.impl.XMLNSDocumentScannerImpl","224 B (0%)","1 (0%)"
"com.jediterm.terminal.TerminalMode[]","224 B (0%)","2 (0%)"
"javax.swing.text.html.ListView","224 B (0%)","2 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.psi.impl.holders.RContainerBase$$Lambda$1561.0x00000001011b1040","224 B (0%)","14 (0%)"
"com.sixrr.inspectjs.control.UnnecessaryLabelOnContinueStatementJSInspection$UnnecessaryLabelOnContinueStatementFix","224 B (0%)","14 (0%)"
"java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater","224 B (0%)","7 (0%)"
"com.sixrr.inspectjs.confusing.NegatedIfStatementJSInspection$NegatedIfElseFix","224 B (0%)","14 (0%)"
"com.intellij.openapi.editor.impl.ComplementaryFontsRegistry$FallBackInfo","224 B (0%)","7 (0%)"
"com.sun.jna.Library$Handler","224 B (0%)","7 (0%)"
"com.intellij.openapi.editor.colors.impl.AbstractColorsScheme$$Lambda$458.0x0000000100579c40","224 B (0%)","14 (0%)"
"org.jetbrains.plugins.ruby.ruby.codeInsight.types.serializable.SerializableTypeKind","216 B (0%)","9 (0%)"
"javax.crypto.spec.DHParameterSpec","216 B (0%)","9 (0%)"
"com.intellij.cloudConfig.StatusInfo","216 B (0%)","9 (0%)"
"com.intellij.ui.popup.BalloonPopupBuilderImpl$1","216 B (0%)","9 (0%)"
"com.intellij.openapi.editor.markup.EffectType","216 B (0%)","9 (0%)"
"com.intellij.util.containers.ContainerUtil$$Lambda$1115.0x0000000100e9e440","216 B (0%)","9 (0%)"
"org.apache.xerces.impl.XMLDocumentScannerImpl","216 B (0%)","1 (0%)"
"com.intellij.configurationStore.BundledSchemeEP","216 B (0%)","9 (0%)"
"com.intellij.psi.css.browse.ColorDeclarationType","216 B (0%)","9 (0%)"
"com.intellij.codeInspection.ui.InspectionViewSuppressActionHolder","216 B (0%)","9 (0%)"
"com.intellij.ide.navigationToolbar.ui.AbstractNavBarUI$ImageType","216 B (0%)","9 (0%)"
"com.intellij.openapi.util.Pair[]","216 B (0%)","4 (0%)"
"com.jetbrains.cidr.execution.debugger.memory.hexdump.lang.psi.HexdumpTokenType","216 B (0%)","9 (0%)"
"com.intellij.openapi.options.ConfigurableEP[]","216 B (0%)","1 (0%)"
"com.intellij.patterns.compiler.PatternCompilerImpl$State","216 B (0%)","9 (0%)"
"com.intellij.vcs.log.data.index.VcsLogFullDetailsIndex$MyMapReduceIndex","216 B (0%)","3 (0%)"
"com.intellij.openapi.wm.impl.IdeBackgroundUtil$Anchor","216 B (0%)","9 (0%)"
"com.intellij.ui.BalloonImpl$7","216 B (0%)","9 (0%)"
"com.jetbrains.jsonSchema.impl.JsonSchemaType","216 B (0%)","9 (0%)"
"com.intellij.lang.javascript.index.flags.EnumStructureElement","216 B (0%)","9 (0%)"
"com.sun.jna.platform.win32.WinReg$HKEY","216 B (0%)","9 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.psi.impl.expressions.RBoolBinExpressionImpl","216 B (0%)","9 (0%)"
"com.intellij.codeInspection.ui.InspectionRootNode","216 B (0%)","9 (0%)"
"com.intellij.openapi.wm.impl.status.InfoAndProgressPanel$ProgressPanelProgressIndicator$$Lambda$2416.0x0000000101676040","216 B (0%)","9 (0%)"
"com.intellij.openapi.wm.impl.status.ProcessBalloon$1MyListener","216 B (0%)","9 (0%)"
"sun.util.logging.PlatformLogger$Level","216 B (0%)","9 (0%)"
"org.jetbrains.plugins.ruby.ruby.lang.lexer.managers.state.Expr","216 B (0%)","9 (0%)"
"kotlin.reflect.jvm.internal.impl.protobuf.WireFormat$JavaType","216 B (0%)","9 (0%)"
"com.intellij.internal.statistic.eventLog.EventId1","216 B (0%)","9 (0%)"
"com.intellij.ui.IconWrapperWithToolTip","216 B (0%)","9 (0%)"
"com.intellij.psi.codeStyle.arrangement.match.StdArrangementEntryMatcher","216 B (0%)","9 (0%)"
"com.intellij.javascript.jest.JestPkgInfo","216 B (0%)","9 (0%)"
"com.intellij.psi.tree.IStubFileElementType","216 B (0%)","9 (0%)"
"org.apache.xerces.util.AugmentationsImpl$SmallContainer","216 B (0%)","9 (0%)"
"com.intellij.util.containers.MultiMap$6","216 B (0%)","9 (0%)"
"com.intellij.openapi.vfs.impl.VirtualFileManagerImpl$$Lambda$481.0x00000001005e4c40","216 B (0%)","9 (0%)"
"com.intellij.ui.BalloonImpl$MyComponent$1","216 B (0%)","9 (0%)"
"org.jetbrains.plugins.ruby.ruby.inspections.controlflowconversion.RubyControlFlowStatementFix","216 B (0%)","9 (0%)"
"com.intellij.psi.codeStyle.arrangement.match.StdArrangementMatchRule","216 B (0%)","9 (0%)"
"com.intellij.ide.navigationToolbar.NavBarUpdateQueue$ID","216 B (0%)","9 (0%)"
"sun.rmi.runtime.Log$LoggerLog","216 B (0%)","9 (0%)"
"com.jetbrains.performancePlugin.lang.psi.IJPerfTokenType","216 B (0%)","9 (0%)"
"com.intellij.configurationStore.StateStorageManagerImpl$Macro","216 B (0%)","9 (0%)"
"sun.security.x509.Extension","216 B (0%)","9 (0%)"
"com.intellij.psi.codeStyle.arrangement.match.ArrangementSectionRule","216 B (0%)","9 (0%)"
"com.intellij.execution.ui.ConsoleViewContentType","216 B (0%)","9 (0%)"
"com.intellij.openapi.editor.impl.MarkupModelImpl$$Lambda$1332.0x00000001010d8440","216 B (0%)","9 (0%)"
"com.intellij.util.concurrency.SynchronizedClearableLazy","216 B (0%)","9 (0%)"
"com.intellij.htmltools.codeInspection.htmlInspections.CreateRequiredSubElement","216 B (0%)","9 (0%)"
"com.intellij.openapi.wm.impl.status.InfoAndProgressPanel$MyInlineProgressIndicator$$Lambda$2422.0x0000000101680040","216 B (0%)","9 (0%)"
"com.intellij.util.messages.impl.SimpleMessageBusConnectionImpl","216 B (0%)","9 (0%)"
"com.intellij.spellchecker.quickfixes.SpellCheckerQuickFix[]","216 B (0%)","9 (0%)"
"com.intellij.openapi.editor.colors.impl.AbstractColorsScheme$$Lambda$548.0x0000000100674040","208 B (0%)","13 (0%)"
"sun.java2d.SunGraphics2D","208 B (0%)","1 (0%)"
"com.intellij.psi.tree.IElementType$Predicate[]","208 B (0%)","7 (0%)"
"com.intellij.index.PrebuiltIndexProvider$openIndexStorage$1","208 B (0%)","2 (0%)"
"sun.security.provider.Sun","208 B (0%)","2 (0%)"
"com.intellij.execution.lineMarker.RunLineMarkerProvider$$Lambda$5804.0x0000000100e75440","208 B (0%)","13 (0%)"
"com.intellij.util.ImageLoader$1","208 B (0%)","1 (0%)"
"com.intellij.util.containers.WeakInterner","208 B (0%)","13 (0%)"
"org.jetbrains.plugins.ruby.rails.codeInsight.daemon.StaticTooltipProvider","208 B (0%)","13 (0%)"
"sun.security.x509.CertificatePolicyId","208 B (0%)","13 (0%)"
"javax.swing.ImageIcon$2$1","208 B (0%)","1 (0%)"
"sun.awt.windows.WFramePeer","208 B (0%)","1 (0%)"
"javax.swing.ImageIcon$3","208 B (0%)","1 (0%)"
"com.intellij.util.text.VersionComparatorUtil$VersionTokenType[]","208 B (0%)","2 (0%)"
"jdk.internal.logger.LazyLoggers$JdkLazyLogger","208 B (0%)","13 (0%)"
"io.netty.channel.socket.nio.NioServerSocketChannel","208 B (0%)","2 (0%)"
"com.intellij.internal.statistic.eventLog.BooleanEventField","208 B (0%)","13 (0%)"
"com.intellij.openapi.editor.actionSystem.EditorActionHandlerBean[]","208 B (0%)","1 (0%)"
"com.intellij.util.QueryExecutor[]","208 B (0%)","4 (0%)"
"java.text.DateFormat$Field[]","200 B (0%)","2 (0%)"
"kotlin.reflect.jvm.internal.impl.metadata.jvm.deserialization.JvmMetadataVersion","200 B (0%)","5 (0%)"
"com.intellij.util.FileIconKey","200 B (0%)","5 (0%)"
"org.jetbrains.plugins.ruby.testing.SupportedTestFramework","200 B (0%)","5 (0%)"
"org.jetbrains.plugins.ruby.ruby.codeInsight.types.Context","200 B (0%)","5 (0%)"
"kotlin.reflect.jvm.internal.impl.types.ErrorType","200 B (0%)","5 (0%)"
"javax.swing.plaf.basic.BasicTextUI$RootView","200 B (0%)","5 (0%)"
