"Name","Total Time","Total Time (CPU)","Hits"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"          com.intellij.execution.process.ProcessWaitFor$$Lambda$698.0x0000000100923040.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"           com.intellij.execution.process.ProcessWaitFor.lambda$new$1 ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"             com.intellij.execution.process.ProcessWaitFor$$Lambda$700.0x0000000100922840.run ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"              com.intellij.execution.process.ProcessWaitFor.lambda$new$0 ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"               java.lang.ProcessImpl.waitFor ()","51,299 ms (-0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"BaseDataReader: output stream of fsnotifier64.exe","51,299 ms (-0%)","51,299 ms (-0%)","1"
" java.lang.Thread.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"        java.util.concurrent.FutureTask.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"          com.intellij.util.io.BaseDataReader$$Lambda$701.0x0000000100922c40.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"           com.intellij.util.io.BaseDataReader.lambda$start$0 ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"             com.intellij.util.io.BaseDataReader$$Lambda$702.0x0000000100922040.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"              com.intellij.util.io.BaseDataReader.doRun ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"               com.intellij.util.io.BaseDataReader.readAvailable ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                com.intellij.util.io.BaseOutputReader.readAvailableBlocking ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                 java.io.Reader.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"BaseDataReader: error stream of fsnotifier64.exe","51,299 ms (-0%)","51,299 ms (-0%)","1"
" java.lang.Thread.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"        java.util.concurrent.FutureTask.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"         java.util.concurrent.Executors$RunnableAdapter.call ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"          com.intellij.util.io.BaseDataReader$$Lambda$701.0x0000000100922c40.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"           com.intellij.util.io.BaseDataReader.lambda$start$0 ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"            com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"             com.intellij.util.io.BaseDataReader$$Lambda$702.0x0000000100922040.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"              com.intellij.util.io.BaseDataReader.doRun ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"               com.intellij.util.io.BaseDataReader.readAvailable ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                com.intellij.util.io.BaseOutputReader.readAvailableBlocking ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                 java.io.Reader.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Thread-0","51,299 ms (-0%)","51,299 ms (-0%)","1"
" com.pty4j.windows.WinPty$WaitForExitThread.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"  com.sun.proxy.$Proxy33.WaitForSingleObject ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Connector-Local","51,299 ms (-0%)","51,299 ms (-0%)","1"
" java.lang.Thread.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"  com.jediterm.terminal.ui.JediTermWidget$EmulatorTask.run ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"   com.jediterm.terminal.TerminalStarter.start ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"    com.jediterm.terminal.DataStreamIteratingEmulator.next ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"     com.jediterm.terminal.TtyBasedArrayDataStream.getChar ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"      com.jediterm.terminal.TtyBasedArrayDataStream.fillBuf ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"       com.jediterm.terminal.ProcessTtyConnector.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"        java.io.InputStreamReader.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"         sun.nio.cs.StreamDecoder.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"          sun.nio.cs.StreamDecoder.implRead ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"           sun.nio.cs.StreamDecoder.readBytes ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"            com.pty4j.windows.WinPTYInputStream.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"             com.pty4j.windows.NamedPipe.read ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"              com.pty4j.windows.$Proxy117.ReadFile ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"               com.sun.jna.Library$Handler.invoke ()","51,299 ms (-0%)","51,299 ms (-0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"TimerQueue","200 ms (-0%)","200 ms (-0%)","2"
" java.lang.Thread.run ()","200 ms (-0%)","200 ms (-0%)","2"
"  javax.swing.TimerQueue.run ()","200 ms (-0%)","200 ms (-0%)","2"
"   javax.swing.Timer.post ()","200 ms (-0%)","200 ms (-0%)","2"
"    java.security.AccessController.doPrivileged[native] ()","200 ms (-0%)","200 ms (-0%)","2"
"     javax.swing.Timer$1.run ()","200 ms (-0%)","200 ms (-0%)","2"
"      javax.swing.Timer$1.run ()","200 ms (-0%)","200 ms (-0%)","2"
"       javax.swing.SwingUtilities.invokeLater ()","200 ms (-0%)","200 ms (-0%)","2"
"        java.awt.EventQueue.invokeLater ()","200 ms (-0%)","200 ms (-0%)","2"
"         com.intellij.ide.IdeEventQueue.postEvent ()","200 ms (-0%)","200 ms (-0%)","2"
"          com.intellij.ide.IdeEventQueue.doPostEvent ()","200 ms (-0%)","200 ms (-0%)","2"
"           java.awt.EventQueue.postEvent ()","200 ms (-0%)","200 ms (-0%)","2"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"ApplicationImpl pooled thread 92","95.1 ms (-0%)","95.1 ms (-0%)","1"
" java.lang.Thread.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"  java.util.concurrent.Executors$PrivilegedThreadFactory$1.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"   java.security.AccessController.doPrivileged[native] ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"    java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"     java.util.concurrent.Executors$PrivilegedThreadFactory$1$1.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"      java.util.concurrent.ThreadPoolExecutor$Worker.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"       java.util.concurrent.ThreadPoolExecutor.runWorker ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"        com.intellij.util.concurrency.SchedulingWrapper$MyScheduledFutureTask.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"         java.util.concurrent.FutureTask.runAndReset ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"          java.util.concurrent.Executors$RunnableAdapter.call ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"           com.intellij.util.ConcurrencyUtil$$Lambda$376.0x0000000100550440.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"            com.intellij.util.ConcurrencyUtil.lambda$underThreadNameRunnable$3 ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"             com.intellij.util.ConcurrencyUtil.runUnderThreadName ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"              com.intellij.util.indexing.FileBasedIndexImpl$6.run ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"               com.intellij.util.indexing.FileBasedIndexImpl.access$800 ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                com.intellij.util.indexing.FileBasedIndexImpl.flushAllIndices ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                 com.intellij.util.indexing.impl.MapReduceIndex.flush ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                  com.intellij.util.indexing.impl.storage.VfsAwareMapReduceIndex.doFlush ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                   com.intellij.util.indexing.impl.MapReduceIndex.doFlush ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                    com.intellij.util.indexing.impl.forward.PersistentMapBasedForwardIndex.force ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                     com.intellij.util.io.PersistentHashMap.force ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                      com.intellij.util.io.PersistentHashMap.doForce ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                       com.intellij.util.io.PersistentHashMap.clearAppenderCaches ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                        com.intellij.util.io.PersistentHashMapValueStorage.force ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                         com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile.force ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                          com.intellij.util.io.CompressedAppendableFile.getChunkLengthFile ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                           java.lang.StringBuilder.append ()","95.1 ms (-0%)","95.1 ms (-0%)","1"
"                           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
